rank,keyword,category,collected_at
1,원피스,패션의류>여성의류,2026-08-07T10:12:29
2,여름원피스,패션의류>여성의류,2026-08-07T10:12:29
3,블라우스,패션의류>여성의류,2026-08-07T10:12:29
4,플리츠원피스,패션의류>여성의류,2026-08-07T10:12:29
5,시슬리원피스,패션의류>여성의류,2026-08-07T10:12:29
6,잇미샤원피스,패션의류>여성의류,2026-08-07T10:12:29
7,에고이스트,패션의류>여성의류,2026-08-07T10:12:29
8,에고이스트원피스,패션의류>여성의류,2026-08-07T10:12:29
9,베네통원피스,패션의류>여성의류,2026-08-07T10:12:29
10,여성원피스,패션의류>여성의류,2026-08-07T10:12:29
11,올리비아로렌,패션의류>여성의류,2026-08-07T10:12:29
12,듀엘원피스,패션의류>여성의류,2026-08-07T10:12:29
13,여성반바지,패션의류>여성의류,2026-08-07T10:12:29
14,여름가디건,패션의류>여성의류,2026-08-07T10:12:29
15,지고트원피스,패션의류>여성의류,2026-08-07T10:12:29
16,샤틴원피스,패션의류>여성의류,2026-08-07T10:12:29
17,쉬즈미스원피스,패션의류>여성의류,2026-08-07T10:12:29
18,여름블라우스,패션의류>여성의류,2026-08-07T10:12:29
19,티셔츠,패션의류>여성의류,2026-08-07T10:12:29
20,린넨원피스,패션의류>여성의류,2026-08-07T10:12:29
21,써스데이아일랜드원피스,패션의류>여성의류,2026-08-07T10:12:29
22,제시뉴욕,패션의류>여성의류,2026-08-07T10:12:29
23,쉬폰원피스,패션의류>여성의류,2026-08-07T10:12:29
24,잇미샤,패션의류>여성의류,2026-08-07T10:12:29
25,bcbg원피스,패션의류>여성의류,2026-08-07T10:12:29
26,써스데이아일랜드,패션의류>여성의류,2026-08-07T10:12:29
27,리스트원피스,패션의류>여성의류,2026-08-07T10:12:29
28,자라,패션의류>여성의류,2026-08-07T10:12:29
29,리스트블라우스,패션의류>여성의류,2026-08-07T10:12:29
30,써스데이원피스,패션의류>여성의류,2026-08-07T10:12:29
31,모조에스핀,패션의류>여성의류,2026-08-07T10:12:29
32,민소매원피스,패션의류>여성의류,2026-08-07T10:12:29
33,블라우스/셔츠,패션의류>여성의류,2026-08-07T10:12:29
34,모조에스핀원피스,패션의류>여성의류,2026-08-07T10:12:29
35,여성블라우스,패션의류>여성의류,2026-08-07T10:12:29
36,럭키슈에뜨원피스,패션의류>여성의류,2026-08-07T10:12:29
37,카프리팬츠,패션의류>여성의류,2026-08-07T10:12:29
38,플리츠미원피스,패션의류>여성의류,2026-08-07T10:12:29
39,온앤온원피스,패션의류>여성의류,2026-08-07T10:12:29
40,바스락원피스,패션의류>여성의류,2026-08-07T10:12:29
