rank,keyword,category,collected_at
1,원피스,패션의류>여성의류,2026-08-24T15:52:19
2,블라우스,패션의류>여성의류,2026-08-24T15:52:19
3,여름원피스,패션의류>여성의류,2026-08-24T15:52:19
4,플리츠원피스,패션의류>여성의류,2026-08-24T15:52:19
5,잇미샤원피스,패션의류>여성의류,2026-08-24T15:52:19
6,시슬리원피스,패션의류>여성의류,2026-08-24T15:52:19
7,에고이스트,패션의류>여성의류,2026-08-24T15:52:19
8,올리비아로렌,패션의류>여성의류,2026-08-24T15:52:19
9,지고트원피스,패션의류>여성의류,2026-08-24T15:52:19
10,듀엘원피스,패션의류>여성의류,2026-08-24T15:52:19
11,베네통원피스,패션의류>여성의류,2026-08-24T15:52:19
12,쉬즈미스원피스,패션의류>여성의류,2026-08-24T15:52:19
13,에고이스트원피스,패션의류>여성의류,2026-08-24T15:52:19
14,여성원피스,패션의류>여성의류,2026-08-24T15:52:19
15,제시뉴욕,패션의류>여성의류,2026-08-24T15:52:19
16,모조에스핀,패션의류>여성의류,2026-08-24T15:52:19
17,샤틴원피스,패션의류>여성의류,2026-08-24T15:52:19
18,써스데이아일랜드원피스,패션의류>여성의류,2026-08-24T15:52:19
19,써스데이아일랜드,패션의류>여성의류,2026-08-24T15:52:19
20,티셔츠,패션의류>여성의류,2026-08-24T15:52:19
21,bcbg원피스,패션의류>여성의류,2026-08-24T15:52:19
22,여성반바지,패션의류>여성의류,2026-08-24T15:52:19
23,케네스레이디원피스,패션의류>여성의류,2026-08-24T15:52:19
24,듀엘,패션의류>여성의류,2026-08-24T15:52:19
25,잇미샤,패션의류>여성의류,2026-08-24T15:52:19
26,리스트블라우스,패션의류>여성의류,2026-08-24T15:52:19
27,여름가디건,패션의류>여성의류,2026-08-24T15:52:19
28,베네통,패션의류>여성의류,2026-08-24T15:52:19
29,써스데이원피스,패션의류>여성의류,2026-08-24T15:52:19
30,시슬리,패션의류>여성의류,2026-08-24T15:52:19
31,올리브데올리브,패션의류>여성의류,2026-08-24T15:52:19
32,쉬즈미스,패션의류>여성의류,2026-08-24T15:52:19
33,리스트원피스,패션의류>여성의류,2026-08-24T15:52:19
34,럭키슈에뜨,패션의류>여성의류,2026-08-24T15:52:19
35,쉬폰원피스,패션의류>여성의류,2026-08-24T15:52:19
36,자라,패션의류>여성의류,2026-08-24T15:52:19
37,모조에스핀원피스,패션의류>여성의류,2026-08-24T15:52:19
38,플리츠미원피스,패션의류>여성의류,2026-08-24T15:52:19
39,여성블라우스,패션의류>여성의류,2026-08-24T15:52:19
40,블라우스/셔츠,패션의류>여성의류,2026-08-24T15:52:19
