rank,keyword,category,collected_at
1,원피스,패션의류>여성의류,2026-08-24T17:06:09
2,블라우스,패션의류>여성의류,2026-08-24T17:06:09
3,여름원피스,패션의류>여성의류,2026-08-24T17:06:09
4,플리츠원피스,패션의류>여성의류,2026-08-24T17:06:09
5,잇미샤원피스,패션의류>여성의류,2026-08-24T17:06:09
6,시슬리원피스,패션의류>여성의류,2026-08-24T17:06:09
7,에고이스트,패션의류>여성의류,2026-08-24T17:06:09
8,올리비아로렌,패션의류>여성의류,2026-08-24T17:06:09
9,지고트원피스,패션의류>여성의류,2026-08-24T17:06:09
10,듀엘원피스,패션의류>여성의류,2026-08-24T17:06:09
11,베네통원피스,패션의류>여성의류,2026-08-24T17:06:09
12,쉬즈미스원피스,패션의류>여성의류,2026-08-24T17:06:09
13,에고이스트원피스,패션의류>여성의류,2026-08-24T17:06:09
14,여성원피스,패션의류>여성의류,2026-08-24T17:06:09
15,제시뉴욕,패션의류>여성의류,2026-08-24T17:06:09
16,모조에스핀,패션의류>여성의류,2026-08-24T17:06:09
17,샤틴원피스,패션의류>여성의류,2026-08-24T17:06:09
18,써스데이아일랜드원피스,패션의류>여성의류,2026-08-24T17:06:09
19,써스데이아일랜드,패션의류>여성의류,2026-08-24T17:06:09
20,티셔츠,패션의류>여성의류,2026-08-24T17:06:09
21,bcbg원피스,패션의류>여성의류,2026-08-24T17:06:09
22,여성반바지,패션의류>여성의류,2026-08-24T17:06:09
23,케네스레이디원피스,패션의류>여성의류,2026-08-24T17:06:09
24,듀엘,패션의류>여성의류,2026-08-24T17:06:09
25,잇미샤,패션의류>여성의류,2026-08-24T17:06:09
26,리스트블라우스,패션의류>여성의류,2026-08-24T17:06:09
27,여름가디건,패션의류>여성의류,2026-08-24T17:06:09
28,베네통,패션의류>여성의류,2026-08-24T17:06:09
29,써스데이원피스,패션의류>여성의류,2026-08-24T17:06:09
30,시슬리,패션의류>여성의류,2026-08-24T17:06:09
31,올리브데올리브,패션의류>여성의류,2026-08-24T17:06:09
32,쉬즈미스,패션의류>여성의류,2026-08-24T17:06:09
33,리스트원피스,패션의류>여성의류,2026-08-24T17:06:09
34,럭키슈에뜨,패션의류>여성의류,2026-08-24T17:06:09
35,쉬폰원피스,패션의류>여성의류,2026-08-24T17:06:09
36,자라,패션의류>여성의류,2026-08-24T17:06:09
37,모조에스핀원피스,패션의류>여성의류,2026-08-24T17:06:09
38,플리츠미원피스,패션의류>여성의류,2026-08-24T17:06:09
39,여성블라우스,패션의류>여성의류,2026-08-24T17:06:09
40,블라우스/셔츠,패션의류>여성의류,2026-08-24T17:06:09
