rank,keyword,category,collected_at
1,원피스,패션의류>여성의류,2026-08-08T23:16:09
2,여름원피스,패션의류>여성의류,2026-08-08T23:16:09
3,블라우스,패션의류>여성의류,2026-08-08T23:16:09
4,플리츠원피스,패션의류>여성의류,2026-08-08T23:16:09
5,시슬리원피스,패션의류>여성의류,2026-08-08T23:16:09
6,잇미샤원피스,패션의류>여성의류,2026-08-08T23:16:09
7,에고이스트,패션의류>여성의류,2026-08-08T23:16:09
8,베네통원피스,패션의류>여성의류,2026-08-08T23:16:09
9,에고이스트원피스,패션의류>여성의류,2026-08-08T23:16:09
10,올리비아로렌,패션의류>여성의류,2026-08-08T23:16:09
11,여성원피스,패션의류>여성의류,2026-08-08T23:16:09
12,듀엘원피스,패션의류>여성의류,2026-08-08T23:16:09
13,여성반바지,패션의류>여성의류,2026-08-08T23:16:09
14,지고트원피스,패션의류>여성의류,2026-08-08T23:16:09
15,쉬즈미스원피스,패션의류>여성의류,2026-08-08T23:16:09
16,여름가디건,패션의류>여성의류,2026-08-08T23:16:09
17,샤틴원피스,패션의류>여성의류,2026-08-08T23:16:09
18,여름블라우스,패션의류>여성의류,2026-08-08T23:16:09
19,티셔츠,패션의류>여성의류,2026-08-08T23:16:09
20,써스데이아일랜드원피스,패션의류>여성의류,2026-08-08T23:16:09
21,린넨원피스,패션의류>여성의류,2026-08-08T23:16:09
22,제시뉴욕,패션의류>여성의류,2026-08-08T23:16:09
23,쉬폰원피스,패션의류>여성의류,2026-08-08T23:16:09
24,잇미샤,패션의류>여성의류,2026-08-08T23:16:09
25,bcbg원피스,패션의류>여성의류,2026-08-08T23:16:09
26,써스데이아일랜드,패션의류>여성의류,2026-08-08T23:16:09
27,리스트원피스,패션의류>여성의류,2026-08-08T23:16:09
28,리스트블라우스,패션의류>여성의류,2026-08-08T23:16:09
29,자라,패션의류>여성의류,2026-08-08T23:16:09
30,모조에스핀,패션의류>여성의류,2026-08-08T23:16:09
31,써스데이원피스,패션의류>여성의류,2026-08-08T23:16:09
32,민소매원피스,패션의류>여성의류,2026-08-08T23:16:09
33,럭키슈에뜨원피스,패션의류>여성의류,2026-08-08T23:16:09
34,모조에스핀원피스,패션의류>여성의류,2026-08-08T23:16:09
35,블라우스/셔츠,패션의류>여성의류,2026-08-08T23:16:09
36,여성블라우스,패션의류>여성의류,2026-08-08T23:16:09
37,플리츠미원피스,패션의류>여성의류,2026-08-08T23:16:09
38,카프리팬츠,패션의류>여성의류,2026-08-08T23:16:09
39,온앤온원피스,패션의류>여성의류,2026-08-08T23:16:09
40,시슬리,패션의류>여성의류,2026-08-08T23:16:09
