date,brand,slot,image_file,uploaded_at
2026-07-24,W컨셉,브랜드검색 MO,35e752dd3fc64b8fae3cfe734ca73755.png,2026-07-24T21:51:40
2026-07-24,W컨셉,메타소재 1,44243c905bb64f048d3c4bba7764be2b.png,2026-07-24T21:51:46
2026-07-24,W컨셉,메타소재 2,5f92a93ccc03488d9a63058a4af3ae6a.png,2026-07-24T21:51:46
2026-07-24,바바더닷컴,브랜드검색 PC,87cdc2256d094c688c9214d191b6ab2e.png,2026-07-24T21:51:50
2026-07-24,바바더닷컴,메타소재 1,f217cad1fe094f63babf61231419fbca.png,2026-07-24T21:52:03
2026-07-24,바바더닷컴,메타소재 2,b02bec1cc929438f826475ed47eb51ad.png,2026-07-24T21:52:03
2026-07-24,바바더닷컴,브랜드검색 MO,29d99210a89b4f11963ec81d5d92729e.png,2026-07-24T21:54:50
2026-07-24,더한섬닷컴,브랜드검색 PC,9b3da4cf173145aa8b8b5a29bdce4091.png,2026-07-24T22:56:30
2026-07-24,더한섬닷컴,브랜드검색 MO,c217f1c834e04549a68e672aa66f5eee.png,2026-07-24T22:56:37
2026-07-24,더한섬닷컴,메타소재 1,b538e2acb9b14f3e9d8190ac18f064a0.png,2026-07-24T22:56:44
2026-07-24,더한섬닷컴,메타소재 2,685f4603abb24dbb99cbe48e4c9b3997.png,2026-07-24T22:56:44
2026-07-24,신세계V,브랜드검색 PC,24070c06102349e5bbe1faa55e2c377b.png,2026-07-24T22:56:48
2026-07-24,신세계V,브랜드검색 MO,35cccf44a97e4126873a3d50f329c1dc.png,2026-07-24T22:56:53
2026-07-24,신세계V,메타소재 1,b93ffde6f650472faaf4e6d57f5140be.png,2026-07-24T22:57:00
2026-07-24,신세계V,메타소재 2,e1688519f49444e9b674eadfbb4decf7.png,2026-07-24T22:57:00
2026-07-24,W컨셉,브랜드검색 PC,479f03588c424f4ab86b0dc204a96c0b.png,2026-07-24T22:57:03
2026-07-28,더한섬닷컴,브랜드검색 PC,619374a952f84f64b0c063147297928b.png,2026-07-28T16:04:08
2026-07-28,더한섬닷컴,브랜드검색 MO,c2aeefbef14b48698526a8f4ea6ee960.png,2026-07-28T16:04:15
2026-07-28,더한섬닷컴,메타소재 1,0d9da987a8ec4be7b238302d477fd5a0.jpg,2026-07-28T16:04:23
2026-07-28,더한섬닷컴,메타소재 2,aa392a101d524a7fb5b297bc9098cfad.jpg,2026-07-28T16:04:23
2026-07-28,신세계V,브랜드검색 PC,fbe476913d4b41df96bb23a795758a14.png,2026-07-28T16:04:28
2026-07-28,신세계V,브랜드검색 MO,d4253ba3f18e4db8b47014881853831a.png,2026-07-28T16:04:35
2026-07-28,신세계V,메타소재 1,ef8ef1a801fc41afb2c140ceaafa735d.jpg,2026-07-28T16:04:43
2026-07-28,신세계V,메타소재 2,e70aada13cd04a93a069db51c8a3c374.jpg,2026-07-28T16:04:43
2026-07-28,W컨셉,브랜드검색 PC,249a68255c104924a5c1b587ba6957a4.png,2026-07-28T16:04:46
2026-07-28,W컨셉,브랜드검색 MO,ed3f08d8e38140f3b53e62054d21ac96.png,2026-07-28T16:04:52
2026-07-28,W컨셉,메타소재 1,0dbe7eedcc7b41c49a8d0bd3fa5f8828.jpg,2026-07-28T16:05:01
2026-07-28,W컨셉,메타소재 2,bcc239f811394d75afc04ee758f46c23.jpg,2026-07-28T16:05:01
2026-07-28,바바더닷컴,브랜드검색 PC,ba873fa31caf4eabbac3256b40116290.png,2026-07-28T16:05:04
2026-07-28,바바더닷컴,브랜드검색 MO,990a358e6d114310a7e9d12cd2e7f9a6.png,2026-07-28T16:05:13
