rank,keyword,category,collected_at
1,크록스,패션잡화,2026-08-09T15:15:41
2,아쿠아슈즈,패션잡화,2026-08-09T15:15:41
3,양산,패션잡화,2026-08-09T15:15:41
4,젤리슈즈,패션잡화,2026-08-09T15:15:41
5,슬리퍼,패션잡화,2026-08-09T15:15:41
6,에코백,패션잡화,2026-08-09T15:15:41
7,나이키운동화,패션잡화,2026-08-09T15:15:41
8,여성샌들,패션잡화,2026-08-09T15:15:41
9,백팩,패션잡화,2026-08-09T15:15:41
10,샌들,패션잡화,2026-08-09T15:15:41
11,안전화,패션잡화,2026-08-09T15:15:41
12,핏플랍샌들,패션잡화,2026-08-09T15:15:41
13,운동화,패션잡화,2026-08-09T15:15:41
14,크록스슬리퍼,패션잡화,2026-08-09T15:15:41
15,크로스백,패션잡화,2026-08-09T15:15:41
16,캐리어,패션잡화,2026-08-09T15:15:41
17,슈콤마보니샌들,패션잡화,2026-08-09T15:15:41
18,여자여름샌들,패션잡화,2026-08-09T15:15:41
19,스케쳐스샌들,패션잡화,2026-08-09T15:15:41
20,아디다스운동화,패션잡화,2026-08-09T15:15:41
21,나이키슬리퍼,패션잡화,2026-08-09T15:15:41
22,카드지갑,패션잡화,2026-08-09T15:15:41
23,뉴발란스운동화,패션잡화,2026-08-09T15:15:41
24,핏플랍쪼리,패션잡화,2026-08-09T15:15:41
25,발가락양말,패션잡화,2026-08-09T15:15:41
26,스케쳐스운동화,패션잡화,2026-08-09T15:15:41
27,런닝화,패션잡화,2026-08-09T15:15:41
28,아디다스슬리퍼,패션잡화,2026-08-09T15:15:41
29,루이비통가방,패션잡화,2026-08-09T15:15:41
30,쪼리,패션잡화,2026-08-09T15:15:41
31,크록스샌들,패션잡화,2026-08-09T15:15:41
32,셀린느가방,패션잡화,2026-08-09T15:15:41
33,오니츠카타이거,패션잡화,2026-08-09T15:15:41
34,k팔찌,패션잡화,2026-08-09T15:15:41
35,호카운동화,패션잡화,2026-08-09T15:15:41
36,양우산,패션잡화,2026-08-09T15:15:41
37,코치가방,패션잡화,2026-08-09T15:15:41
38,러닝화,패션잡화,2026-08-09T15:15:41
39,메리제인운동화,패션잡화,2026-08-09T15:15:41
40,카시오시계,패션잡화,2026-08-09T15:15:41
