rank,keyword,category,collected_at
1,크록스,패션잡화,2026-08-09T17:43:39
2,아쿠아슈즈,패션잡화,2026-08-09T17:43:39
3,양산,패션잡화,2026-08-09T17:43:39
4,젤리슈즈,패션잡화,2026-08-09T17:43:39
5,슬리퍼,패션잡화,2026-08-09T17:43:39
6,에코백,패션잡화,2026-08-09T17:43:39
7,나이키운동화,패션잡화,2026-08-09T17:43:39
8,여성샌들,패션잡화,2026-08-09T17:43:39
9,백팩,패션잡화,2026-08-09T17:43:39
10,샌들,패션잡화,2026-08-09T17:43:39
11,안전화,패션잡화,2026-08-09T17:43:39
12,핏플랍샌들,패션잡화,2026-08-09T17:43:39
13,운동화,패션잡화,2026-08-09T17:43:39
14,크록스슬리퍼,패션잡화,2026-08-09T17:43:39
15,크로스백,패션잡화,2026-08-09T17:43:39
16,캐리어,패션잡화,2026-08-09T17:43:39
17,슈콤마보니샌들,패션잡화,2026-08-09T17:43:39
18,여자여름샌들,패션잡화,2026-08-09T17:43:39
19,스케쳐스샌들,패션잡화,2026-08-09T17:43:39
20,아디다스운동화,패션잡화,2026-08-09T17:43:39
21,나이키슬리퍼,패션잡화,2026-08-09T17:43:39
22,카드지갑,패션잡화,2026-08-09T17:43:39
23,뉴발란스운동화,패션잡화,2026-08-09T17:43:39
24,핏플랍쪼리,패션잡화,2026-08-09T17:43:39
25,발가락양말,패션잡화,2026-08-09T17:43:39
26,스케쳐스운동화,패션잡화,2026-08-09T17:43:39
27,런닝화,패션잡화,2026-08-09T17:43:39
28,아디다스슬리퍼,패션잡화,2026-08-09T17:43:39
29,루이비통가방,패션잡화,2026-08-09T17:43:39
30,쪼리,패션잡화,2026-08-09T17:43:39
31,크록스샌들,패션잡화,2026-08-09T17:43:39
32,셀린느가방,패션잡화,2026-08-09T17:43:39
33,오니츠카타이거,패션잡화,2026-08-09T17:43:39
34,k팔찌,패션잡화,2026-08-09T17:43:39
35,호카운동화,패션잡화,2026-08-09T17:43:39
36,양우산,패션잡화,2026-08-09T17:43:39
37,코치가방,패션잡화,2026-08-09T17:43:39
38,러닝화,패션잡화,2026-08-09T17:43:39
39,메리제인운동화,패션잡화,2026-08-09T17:43:39
40,핏플랍,패션잡화,2026-08-09T17:43:39
