rank,keyword,category,collected_at
1,크록스,패션잡화,2026-08-06T03:15:43
2,아쿠아슈즈,패션잡화,2026-08-06T03:15:43
3,젤리슈즈,패션잡화,2026-08-06T03:15:43
4,양산,패션잡화,2026-08-06T03:15:43
5,슬리퍼,패션잡화,2026-08-06T03:15:43
6,에코백,패션잡화,2026-08-06T03:15:43
7,여성샌들,패션잡화,2026-08-06T03:15:43
8,나이키운동화,패션잡화,2026-08-06T03:15:43
9,샌들,패션잡화,2026-08-06T03:15:43
10,백팩,패션잡화,2026-08-06T03:15:43
11,안전화,패션잡화,2026-08-06T03:15:43
12,핏플랍샌들,패션잡화,2026-08-06T03:15:43
13,운동화,패션잡화,2026-08-06T03:15:43
14,크로스백,패션잡화,2026-08-06T03:15:43
15,크록스슬리퍼,패션잡화,2026-08-06T03:15:43
16,여자여름샌들,패션잡화,2026-08-06T03:15:43
17,캐리어,패션잡화,2026-08-06T03:15:43
18,슈콤마보니샌들,패션잡화,2026-08-06T03:15:43
19,스케쳐스샌들,패션잡화,2026-08-06T03:15:43
20,아디다스운동화,패션잡화,2026-08-06T03:15:43
21,나이키슬리퍼,패션잡화,2026-08-06T03:15:43
22,카드지갑,패션잡화,2026-08-06T03:15:43
23,뉴발란스운동화,패션잡화,2026-08-06T03:15:43
24,런닝화,패션잡화,2026-08-06T03:15:43
25,루이비통가방,패션잡화,2026-08-06T03:15:43
26,핏플랍쪼리,패션잡화,2026-08-06T03:15:43
27,스케쳐스운동화,패션잡화,2026-08-06T03:15:43
28,아디다스슬리퍼,패션잡화,2026-08-06T03:15:43
29,발가락양말,패션잡화,2026-08-06T03:15:43
30,크록스샌들,패션잡화,2026-08-06T03:15:43
31,쪼리,패션잡화,2026-08-06T03:15:43
32,k팔찌,패션잡화,2026-08-06T03:15:43
33,셀린느가방,패션잡화,2026-08-06T03:15:43
34,오니츠카타이거,패션잡화,2026-08-06T03:15:43
35,메리제인운동화,패션잡화,2026-08-06T03:15:43
36,호카운동화,패션잡화,2026-08-06T03:15:43
37,러닝화,패션잡화,2026-08-06T03:15:43
38,코치가방,패션잡화,2026-08-06T03:15:43
39,카시오시계,패션잡화,2026-08-06T03:15:43
40,양우산,패션잡화,2026-08-06T03:15:43
